rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,date
10,10,0,NEW,20184082,걸캅스,2019-05-09,14789300,0.6,14789300,100,54445300,1094,1094,100,5618,17,17,2019-05-07
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,1085222000,61.5,-364835710,-25.2,103287237560,120161,-44185,-26.9,11876179,2167,8662,2019-05-08
2,2,0,OLD,20185784,나의 특별한 형제,2019-05-01,460295900,26.1,-121333760,-20.9,7973322260,58566,-20774,-26.2,976585,855,3582,2019-05-08
3,3,8,OLD,20185384,호텔 뭄바이,2019-05-08,43591500,2.5,35583500,444.3,67409500,5723,4722,471.7,9359,207,787,2019-05-08
4,4,-1,OLD,20188941,악인전,2019-05-15,27935600,1.6,-60213400,-68.3,118332600,3514,-6429,-64.7,13738,20,20,2019-05-08
5,5,-1,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,24867080,1.4,-17735080,-41.6,5137646350,3466,-2555,-42.4,669082,359,516,2019-05-08
6,6,0,NEW,20199623,고양이 여행 리포트,2019-05-09,9792000,0.6,9792000,100,25226000,1088,1088,100,3181,6,6,2019-05-08
7,7,-2,OLD,20187981,배심원들,2019-05-15,9747000,0.6,-8368000,-46.2,58609000,1083,-932,-46.3,6571,6,6,2019-05-08
8,8,4,OLD,20199189,미스 스티븐스,2019-05-02,7170550,0.4,-18150,-0.3,106233260,942,2,0.2,13095,52,104,2019-05-08
9,9,-3,OLD,20199448,어린 의뢰인,2019-05-22,7767000,0.4,-6633000,-46.1,71500000,924,-676,-42.3,8024,5,5,2019-05-08
10,10,3,OLD,20060347,판의 미로 - 오필리아와 세 개의 열쇠,2006-11-30,7210300,0.4,728300,11.2,2908940848,898,46,5.4,486208,37,90,2019-05-08
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,975749060,41.1,-109472940,-10.1,104262986620,110547,-9614,-8,11986726,1677,6393,2019-05-09
2,2,30,OLD,20184082,걸캅스,2019-05-09,600962410,25.3,599608410,44284.2,656761710,74718,74549,44111.8,80505,760,3434,2019-05-09
3,3,-1,OLD,20185784,나의 특별한 형제,2019-05-01,324065930,13.7,-136229970,-29.6,8297388190,40725,-17841,-30.5,1017310,714,2513,2019-05-09
4,4,0,NEW,20198598,명탐정 피카츄,2019-05-09,222935100,9.4,222935100,100,1773158510,27354,27354,100,215236,697,2226,2019-05-09
5,5,-1,OLD,20188941,악인전,2019-05-15,56696000,2.4,28760400,103,175028600,6690,3176,90.4,20428,34,34,2019-05-09
6,6,-3,OLD,20185384,호텔 뭄바이,2019-05-08,37616100,1.6,-5975400,-13.7,105025600,4897,-826,-14.4,14256,200,635,2019-05-09
7,7,0,OLD,20187981,배심원들,2019-05-15,37440000,1.6,27693000,284.1,96049000,4463,3380,312.1,11034,18,18,2019-05-09
8,8,-3,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,20069000,0.8,-4798080,-19.3,5157715350,3007,-459,-13.2,672089,220,280,2019-05-09
9,9,0,NEW,20199923,라플라스의 마녀,2019-05-09,15292100,0.6,15292100,100,20403100,1868,1868,100,2371,116,199,2019-05-09
10,10,15,OLD,20199949,벤 이즈 백,2019-05-09,7857700,0.3,5537700,238.7,16177900,1038,748,257.9,2247,72,134,2019-05-09
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,1577040950,45.9,601291890,61.6,105840027570,167809,57262,51.8,12154535,1702,6562,2019-05-10
2,2,0,OLD,20184082,걸캅스,2019-05-09,883127033,25.7,282164623,47,1539888743,100549,25831,34.6,181054,834,3661,2019-05-10
3,3,0,OLD,20185784,나의 특별한 형제,2019-05-01,486374813,14.1,162308883,50.1,8783763003,58107,17382,42.7,1075417,770,2648,2019-05-10
4,4,0,OLD,20198598,명탐정 피카츄,2019-05-09,312314877,9.1,89379777,40.1,2085473387,35044,7690,28.1,250280,701,2249,2019-05-10
5,5,1,OLD,20185384,호텔 뭄바이,2019-05-08,46252800,1.3,8636700,23,151278400,5316,419,8.6,19572,196,612,2019-05-10
6,6,2,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,24128520,0.7,4059520,20.2,5181843870,3397,390,13,675486,224,289,2019-05-10
7,7,2,OLD,20199923,라플라스의 마녀,2019-05-09,15251730,0.4,-40370,-0.3,35654830,1658,-210,-11.2,4029,112,182,2019-05-10
8,8,2,OLD,20199949,벤 이즈 백,2019-05-09,10233980,0.3,2376280,30.2,26411880,1227,189,18.2,3474,73,132,2019-05-10
9,9,0,NEW,20186651,뷰티풀 보이스,2019-05-22,9845000,0.3,9845000,100,11849700,895,895,100,1167,4,5,2019-05-10
10,10,3,OLD,20199623,고양이 여행 리포트,2019-05-09,6991900,0.2,2049220,41.5,37160580,799,170,27,4609,69,121,2019-05-10
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,3266295450,44.4,1689254500,107.1,109106323020,354219,186410,111.1,12508754,1687,6557,2019-05-11
2,2,0,OLD,20184082,걸캅스,2019-05-09,1835756461,24.9,952629428,107.9,3375645204,207606,107057,106.5,388660,941,4028,2019-05-11
3,3,0,OLD,20185784,나의 특별한 형제,2019-05-01,917884091,12.5,431509278,88.7,9701647094,106174,48067,82.7,1181591,787,2734,2019-05-11
4,4,0,OLD,20198598,명탐정 피카츄,2019-05-09,871915359,11.8,559600482,179.2,2957388746,102877,67833,193.6,353157,798,2382,2019-05-11
5,5,1,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,182937110,2.5,158808590,658.2,5364780980,23282,19885,585.4,698768,453,674,2019-05-11
6,6,-1,OLD,20185384,호텔 뭄바이,2019-05-08,81171900,1.1,34919100,75.5,232450300,9178,3862,72.6,28750,169,477,2019-05-11
7,7,0,NEW,20187981,배심원들,2019-05-15,60629790,0.8,60629790,100,156678790,6766,6766,100,17800,193,296,2019-05-11
8,8,0,OLD,20199949,벤 이즈 백,2019-05-09,16679660,0.2,6445680,63,43091540,1997,770,62.8,5471,72,124,2019-05-11
9,9,-2,OLD,20199923,라플라스의 마녀,2019-05-09,16072350,0.2,820620,5.4,51727180,1817,159,9.6,5846,106,157,2019-05-11
10,10,0,OLD,20199623,고양이 여행 리포트,2019-05-09,11701630,0.2,4709730,67.4,48862210,1349,550,68.8,5958,67,109,2019-05-11
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,2662203710,40.7,-604091740,-18.5,111768526730,290778,-63441,-17.9,12799532,1665,6308,2019-05-12
2,2,0,OLD,20184082,걸캅스,2019-05-09,1794178850,27.4,-41577611,-2.3,5169824054,203308,-4298,-2.1,591968,973,4070,2019-05-12
3,3,1,OLD,20198598,명탐정 피카츄,2019-05-09,845074770,12.9,-26840589,-3.1,3802463516,100701,-2176,-2.1,453858,817,2405,2019-05-12
4,4,-1,OLD,20185784,나의 특별한 형제,2019-05-01,813812630,12.4,-104071461,-11.3,10515459724,93812,-12362,-11.6,1275403,783,2655,2019-05-12
5,5,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,178619920,2.7,-4317190,-2.4,5543400900,22655,-627,-2.7,721423,447,665,2019-05-12
6,6,0,OLD,20185384,호텔 뭄바이,2019-05-08,72555300,1.1,-8616600,-10.6,305005600,8279,-899,-9.8,37029,166,444,2019-05-12
7,7,0,OLD,20187981,배심원들,2019-05-15,54355530,0.8,-6274260,-10.3,211034320,5916,-850,-12.6,23716,184,277,2019-05-12
8,8,0,OLD,20199949,벤 이즈 백,2019-05-09,12684400,0.2,-3995260,-24,55775940,1528,-469,-23.5,6999,78,122,2019-05-12
9,9,0,OLD,20199923,라플라스의 마녀,2019-05-09,11920840,0.2,-4151510,-25.8,63648020,1363,-454,-25,7209,97,138,2019-05-12
10,10,0,OLD,20199623,고양이 여행 리포트,2019-05-09,10421350,0.2,-1280280,-10.9,59283560,1203,-146,-10.8,7161,75,112,2019-05-12
1,1,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,738237210,39.9,-1923966500,-72.3,112506763940,82378,-208400,-71.7,12881910,1537,5771,2019-05-13
2,2,0,OLD,20184082,걸캅스,2019-05-09,602880820,32.6,-1191298030,-66.4,5772704874,73974,-129334,-63.6,665942,894,4185,2019-05-13
3,3,1,OLD,20185784,나의 특별한 형제,2019-05-01,224573760,12.1,-589238870,-72.4,10740033484,27915,-65897,-70.2,1303318,689,2582,2019-05-13
4,4,-1,OLD,20198598,명탐정 피카츄,2019-05-09,156915650,8.5,-688159120,-81.4,3959379166,19083,-81618,-81,472941,647,2016,2019-05-13
5,5,1,OLD,20185384,호텔 뭄바이,2019-05-08,33758500,1.8,-38796800,-53.5,338764100,4318,-3961,-47.8,41347,194,483,2019-05-13
6,6,1,OLD,20187981,배심원들,2019-05-15,16187000,0.9,-38168530,-70.2,227221320,1795,-4121,-69.7,25511,8,8,2019-05-13
7,7,-2,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,11191980,0.6,-167427940,-93.7,5554592880,1579,-21076,-93,723002,194,237,2019-05-13
8,8,0,OLD,20199949,벤 이즈 백,2019-05-09,6618700,0.4,-6065700,-47.8,62394640,895,-633,-41.4,7894,71,120,2019-05-13
9,9,0,OLD,20199923,라플라스의 마녀,2019-05-09,4838940,0.3,-7081900,-59.4,68486960,592,-771,-56.6,7801,91,136,2019-05-13
10,10,0,OLD,20199623,고양이 여행 리포트,2019-05-09,3720200,0.2,-6701150,-64.3,63003760,486,-717,-59.6,7647,62,104,2019-05-13
1,1,1,OLD,20184082,걸캅스,2019-05-09,609143820,34.7,6263000,1,6381848694,76544,2570,3.5,742486,942,4236,2019-05-14
2,2,-1,OLD,20184889,어벤져스: 엔드게임,2019-04-24,623285230,35.5,-114951980,-15.6,113130049170,69900,-12478,-15.1,12951810,1545,5639,2019-05-14
3,3,0,OLD,20185784,나의 특별한 형제,2019-05-01,219853220,12.5,-4720540,-2.1,10959886704,28428,513,1.8,1331746,741,2601,2019-05-14
4,4,0,OLD,20198598,명탐정 피카츄,2019-05-09,147670560,8.4,-9245090,-5.9,4107049726,18118,-965,-5.1,491059,649,1959,2019-05-14
5,5,0,OLD,20185384,호텔 뭄바이,2019-05-08,33391300,1.9,-367200,-1.1,372155400,4244,-74,-1.7,45591,201,503,2019-05-14
6,6,0,NEW,20199448,어린 의뢰인,2019-05-22,18736000,1.1,18736000,100,92316000,3172,3172,100,11456,17,17,2019-05-14
7,7,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,13665300,0.8,2473320,22.1,5568258180,1972,393,24.9,724974,195,243,2019-05-14
8,8,-2,OLD,20187981,배심원들,2019-05-15,17862200,1.0,1675200,10.3,245083520,1501,-294,-16.4,27012,16,16,2019-05-14
9,9,-1,OLD,20199949,벤 이즈 백,2019-05-09,8795900,0.5,2177200,32.9,71190540,1097,202,22.6,8991,74,127,2019-05-14
10,10,-1,OLD,20199923,라플라스의 마녀,2019-05-09,6517040,0.4,1678100,34.7,75004000,717,125,21.1,8518,96,135,2019-05-14
1,1,0,NEW,20188941,악인전,2019-05-15,1444258970,47.1,1444258970,100,1623255570,175397,175397,100,196391,1048,5187,2019-05-15
2,2,-1,OLD,20184082,걸캅스,2019-05-09,508551020,16.6,-100592800,-16.5,6890399714,63999,-12545,-16.4,806485,756,2927,2019-05-15
3,3,-1,OLD,20184889,어벤져스: 엔드게임,2019-04-24,544258900,17.8,-79026330,-12.7,113674308070,62153,-7747,-11.1,13013963,936,3056,2019-05-15
4,4,4,OLD,20187981,배심원들,2019-05-15,204296220,6.7,186434020,1043.7,449379740,25929,24428,1627.4,52941,784,3049,2019-05-15
5,5,-2,OLD,20185784,나의 특별한 형제,2019-05-01,152702690,5.0,-67150530,-30.5,11112589394,20174,-8254,-29,1351920,514,1320,2019-05-15
6,6,-2,OLD,20198598,명탐정 피카츄,2019-05-09,102423450,3.3,-45247110,-30.6,4209473176,12982,-5136,-28.3,504041,454,872,2019-05-15
7,7,-2,OLD,20185384,호텔 뭄바이,2019-05-08,15765700,0.5,-17625600,-52.8,387921100,2130,-2114,-49.8,47721,147,251,2019-05-15
8,8,-1,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,9509400,0.3,-4155900,-30.4,5577767580,1391,-581,-29.5,726365,98,126,2019-05-15
9,9,36,OLD,20183096,생일,2019-04-03,6449000,0.2,6070000,1601.6,9871401840,849,777,1079.2,1195385,13,14,2019-05-15
10,10,-4,OLD,20199448,어린 의뢰인,2019-05-22,6324000,0.2,-12412000,-66.2,98640000,726,-2446,-77.1,12182,5,5,2019-05-15
1,1,0,OLD,20188941,악인전,2019-05-15,1407617270,50.9,-36641700,-2.5,3030872840,170543,-4854,-2.8,366934,1109,5379,2019-05-16
2,2,1,OLD,20184889,어벤져스: 엔드게임,2019-04-24,460077350,16.6,-84181550,-15.5,114134385420,50837,-11316,-18.2,13064800,887,2841,2019-05-16
3,3,-1,OLD,20184082,걸캅스,2019-05-09,398018680,14.4,-110532340,-21.7,7288418394,49509,-14490,-22.6,855994,809,2953,2019-05-16
4,4,0,OLD,20187981,배심원들,2019-05-15,148323930,5.4,-55972290,-27.4,597703670,18893,-7036,-27.1,71834,726,2673,2019-05-16
5,5,0,OLD,20185784,나의 특별한 형제,2019-05-01,96027590,3.5,-56675100,-37.1,11208616984,13062,-7112,-35.3,1364982,478,1061,2019-05-16
6,6,0,OLD,20198598,명탐정 피카츄,2019-05-09,69884490,2.5,-32538960,-31.8,4279357666,8395,-4587,-35.3,512436,401,689,2019-05-16
7,7,19,OLD,20197503,서스페리아,2019-05-16,37529150,1.4,35306150,1588.2,55920950,4335,4088,1655.1,6226,257,476,2019-05-16
8,8,20,OLD,20198597,교회오빠,2019-05-16,25644390,0.9,24444390,2037,59868390,3245,3045,1522.5,7395,188,251,2019-05-16
9,9,0,NEW,20190270,나의 히어로 아카데미아 더 무비: 두 명의 히어로,2019-05-16,21007850,0.8,21007850,100,23047850,2647,2647,100,2902,85,155,2019-05-16
10,10,-3,OLD,20185384,호텔 뭄바이,2019-05-08,13354100,0.5,-2411600,-15.3,401275200,1717,-413,-19.4,49438,134,233,2019-05-16
1,1,0,OLD,20188941,악인전,2019-05-15,1963705260,50.2,556087990,39.5,4994578100,217575,47032,27.6,584509,1185,5891,2019-05-17
2,2,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,709870250,18.1,249792900,54.3,114844255670,73269,22432,44.1,13138069,891,2894,2019-05-17
3,3,0,OLD,20184082,걸캅스,2019-05-09,613012210,15.7,214993530,54,7901430604,70771,21262,42.9,926765,872,3324,2019-05-17
4,4,0,OLD,20187981,배심원들,2019-05-15,202927160,5.2,54603230,36.8,800630830,25859,6966,36.9,97693,648,2368,2019-05-17
5,5,0,OLD,20185784,나의 특별한 형제,2019-05-01,118886340,3.0,22858750,23.8,11327503324,14961,1899,14.5,1379943,478,1077,2019-05-17
6,6,0,OLD,20198598,명탐정 피카츄,2019-05-09,109807910,2.8,39923420,57.1,4389165576,12485,4090,48.7,524921,440,761,2019-05-17
7,7,0,OLD,20197503,서스페리아,2019-05-16,39887750,1.0,2358600,6.3,95808700,4095,-240,-5.5,10321,238,439,2019-05-17
8,8,0,OLD,20198597,교회오빠,2019-05-16,34195180,0.9,8550790,33.3,94063570,3874,629,19.4,11269,193,263,2019-05-17
9,9,1,OLD,20185384,호텔 뭄바이,2019-05-08,21522000,0.6,8167900,61.2,422797200,2499,782,45.5,51937,144,247,2019-05-17
10,10,-1,OLD,20190270,나의 히어로 아카데미아 더 무비: 두 명의 히어로,2019-05-16,13848460,0.4,-7159390,-34.1,36896310,1590,-1057,-39.9,4492,83,137,2019-05-17
1,1,0,OLD,20188941,악인전,2019-05-15,4125064120,48.3,2161358860,110.1,9119642220,454993,237418,109.1,1039502,1298,6571,2019-05-18
2,2,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,1600761920,18.8,890891670,125.5,116445017590,169574,96305,131.4,13307643,958,3024,2019-05-18
3,3,0,OLD,20184082,걸캅스,2019-05-09,1381847590,16.2,768835380,125.4,9283278194,157612,86841,122.7,1084377,885,3585,2019-05-18
4,4,2,OLD,20198598,명탐정 피카츄,2019-05-09,439338250,5.1,329530340,300.1,4828503826,52856,40371,323.4,577777,594,1158,2019-05-18
5,5,-1,OLD,20187981,배심원들,2019-05-15,383671930,4.5,180744770,89.1,1184302760,47395,21536,83.3,145088,628,1903,2019-05-18
6,6,-1,OLD,20185784,나의 특별한 형제,2019-05-01,222771070,2.6,103884730,87.4,11550274394,26837,11876,79.4,1406780,496,1003,2019-05-18
7,7,4,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,87808400,1.0,78495790,842.9,5680904150,11053,9711,723.6,739673,223,293,2019-05-18
8,8,-1,OLD,20197503,서스페리아,2019-05-16,51625310,0.6,11737560,29.4,147434010,5361,1266,30.9,15682,238,379,2019-05-18
9,9,-1,OLD,20198597,교회오빠,2019-05-16,44023030,0.5,9827850,28.7,138086600,4963,1089,28.1,16232,195,267,2019-05-18
10,10,-1,OLD,20185384,호텔 뭄바이,2019-05-08,40647700,0.5,19125700,88.9,463444900,4616,2117,84.7,56553,143,224,2019-05-18
1,1,0,OLD,20188941,악인전,2019-05-15,4011485560,49.9,-113578560,-2.8,13131127780,440790,-14203,-3.1,1480292,1307,6503,2019-05-19
2,2,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,1360038530,16.9,-240723390,-15,117805056120,145997,-23577,-13.9,13453640,956,2971,2019-05-19
3,3,0,OLD,20184082,걸캅스,2019-05-09,1251767720,15.6,-130079870,-9.4,10535045914,143448,-14164,-9,1227825,865,3479,2019-05-19
4,4,0,OLD,20198598,명탐정 피카츄,2019-05-09,475278740,5.9,35940490,8.2,5303782566,57351,4495,8.5,635128,615,1175,2019-05-19
5,5,0,OLD,20187981,배심원들,2019-05-15,381275480,4.7,-2396450,-0.6,1565578240,47090,-305,-0.6,192178,615,1789,2019-05-19
6,6,0,OLD,20185784,나의 특별한 형제,2019-05-01,200158470,2.5,-22612600,-10.2,11750432864,24011,-2826,-10.5,1430791,483,941,2019-05-19
7,7,0,OLD,20198183,뽀로로 극장판 보물섬 대모험,2019-04-25,103134900,1.3,15326500,17.5,5784039050,12835,1782,16.1,752508,234,317,2019-05-19
8,8,1,OLD,20198597,교회오빠,2019-05-16,49946650,0.6,5923620,13.5,188033250,5574,611,12.3,21806,175,241,2019-05-19
9,9,1,OLD,20185384,호텔 뭄바이,2019-05-08,40813500,0.5,165800,0.4,504258400,4610,-6,-0.1,61163,139,223,2019-05-19
10,10,-2,OLD,20197503,서스페리아,2019-05-16,37757760,0.5,-13867550,-26.9,185191770,4002,-1359,-25.3,19684,231,337,2019-05-19
1,1,0,OLD,20188941,악인전,2019-05-15,1371323690,54.9,-2640161870,-65.8,14502451470,165587,-275203,-62.4,1645879,1214,6250,2019-05-20
2,2,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,374520120,15.0,-985518410,-72.5,118179576240,41642,-104355,-71.5,13495282,845,2668,2019-05-20
3,3,0,OLD,20184082,걸캅스,2019-05-09,334603120,13.4,-917164600,-73.3,10869649034,41314,-102134,-71.2,1269139,815,3341,2019-05-20
4,4,1,OLD,20187981,배심원들,2019-05-15,146639730,5.9,-234635750,-61.5,1712217970,20411,-26679,-56.7,212589,621,1815,2019-05-20
5,5,1,OLD,20185784,나의 특별한 형제,2019-05-01,52956680,2.1,-147201790,-73.5,11803389544,6865,-17146,-71.4,1437656,430,901,2019-05-20
6,6,-2,OLD,20198598,명탐정 피카츄,2019-05-09,56058370,2.2,-419220370,-88.2,5359840936,6808,-50543,-88.1,641936,395,720,2019-05-20
7,7,1,OLD,20198597,교회오빠,2019-05-16,26700400,1.1,-23246250,-46.5,214733650,3380,-2194,-39.4,25186,191,279,2019-05-20
8,8,0,NEW,20199448,어린 의뢰인,2019-05-22,28885000,1.2,28885000,100,140224000,3265,3265,100,16858,14,14,2019-05-20
9,9,1,OLD,20197503,서스페리아,2019-05-16,19269640,0.8,-18488120,-49,204461410,2277,-1725,-43.1,21961,216,332,2019-05-20
10,10,-1,OLD,20185384,호텔 뭄바이,2019-05-08,13736300,0.5,-27077200,-66.3,517994700,1782,-2828,-61.3,62945,128,237,2019-05-20
1,1,0,OLD,20188941,악인전,2019-05-15,1148167950,52.6,-223155740,-16.3,15650619420,138829,-26758,-16.2,1784708,1217,6234,2019-05-21
2,2,1,OLD,20184082,걸캅스,2019-05-09,312140200,14.3,-22462920,-6.7,11181789234,39012,-2302,-5.6,1308151,828,3322,2019-05-21
3,3,-1,OLD,20184889,어벤져스: 엔드게임,2019-04-24,328284600,15.0,-46235520,-12.3,118507860840,36047,-5595,-13.4,13531329,854,2644,2019-05-21
4,4,0,OLD,20187981,배심원들,2019-05-15,119626070,5.5,-27013660,-18.4,1831844040,14973,-5438,-26.6,227562,607,1804,2019-05-21
5,5,0,OLD,20185784,나의 특별한 형제,2019-05-01,50975100,2.3,-1981580,-3.7,11854364644,6670,-195,-2.8,1444326,440,895,2019-05-21
6,6,0,OLD,20198598,명탐정 피카츄,2019-05-09,50939700,2.3,-5118670,-9.1,5410780636,6181,-627,-9.2,648117,383,698,2019-05-21
7,7,0,OLD,20198597,교회오빠,2019-05-16,37531210,1.7,10830810,40.6,252264860,4887,1507,44.6,30073,200,293,2019-05-21
8,8,2,OLD,20185384,호텔 뭄바이,2019-05-08,22340400,1.0,8604100,62.6,540335100,3030,1248,70,65975,134,241,2019-05-21
9,9,0,OLD,20197503,서스페리아,2019-05-16,19123330,0.9,-146310,-0.8,223584740,2256,-21,-0.9,24217,221,325,2019-05-21
10,10,1,OLD,20190725,물의 기억,2019-05-15,8934300,0.4,-111980,-1.2,60020980,1638,-43,-2.6,10353,83,145,2019-05-21
1,1,0,OLD,20188941,악인전,2019-05-15,1073215440,49.3,-74952510,-6.5,16723834860,130018,-8811,-6.3,1914726,1124,6040,2019-05-22
2,2,0,OLD,20184082,걸캅스,2019-05-09,311690020,14.3,-450180,-0.1,11493479254,38840,-172,-0.4,1346991,714,3072,2019-05-22
3,3,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,330876580,15.2,2591980,0.8,118838737420,35466,-581,-1.6,13566795,698,2205,2019-05-22
4,4,23,OLD,20199448,어린 의뢰인,2019-05-22,169077420,7.8,166897420,7655.8,311481420,21262,21044,9653.2,38338,654,2838,2019-05-22
5,5,-1,OLD,20187981,배심원들,2019-05-15,79526850,3.7,-40099220,-33.5,1911370890,10172,-4801,-32.1,237734,460,1106,2019-05-22
6,6,-1,OLD,20185784,나의 특별한 형제,2019-05-01,42687180,2.0,-8287920,-16.3,11897051824,5800,-870,-13,1450126,287,583,2019-05-22
7,7,-1,OLD,20198598,명탐정 피카츄,2019-05-09,44479360,2.0,-6460340,-12.7,5455259996,5548,-633,-10.2,653665,266,512,2019-05-22
8,8,-1,OLD,20198597,교회오빠,2019-05-16,25336510,1.2,-12194700,-32.5,277601370,3231,-1656,-33.9,33304,152,199,2019-05-22
9,9,1,OLD,20190725,물의 기억,2019-05-15,7812300,0.4,-1122000,-12.6,67833280,1459,-179,-10.9,11812,49,100,2019-05-22
10,10,0,NEW,20183867,알라딘,2019-05-23,12687300,0.6,12687300,100,24147300,1394,1394,100,2318,5,5,2019-05-22
1,1,0,OLD,20188941,악인전,2019-05-15,948626570,38.8,-124588870,-11.6,17672461430,114460,-15558,-12,2029186,997,4690,2019-05-23
2,2,8,OLD,20183867,알라딘,2019-05-23,616644460,25.2,603957160,4760.3,640791760,72736,71342,5117.8,75054,1008,4265,2019-05-23
3,3,-1,OLD,20184082,걸캅스,2019-05-09,208670810,8.5,-103019210,-33.1,11702150064,26047,-12793,-32.9,1373038,599,1745,2019-05-23
4,4,-1,OLD,20184889,어벤져스: 엔드게임,2019-04-24,205602340,8.4,-125274240,-37.9,119044339760,22425,-13041,-36.8,13589220,519,1103,2019-05-23
5,5,0,NEW,20199822,더 보이,2019-05-23,146359870,6.0,146359870,100,150369870,17628,17628,100,18029,475,1712,2019-05-23
6,6,-2,OLD,20199448,어린 의뢰인,2019-05-22,130545170,5.3,-38532250,-22.8,442026590,16343,-4919,-23.1,54681,671,2459,2019-05-23
7,7,-2,OLD,20187981,배심원들,2019-05-15,36340450,1.5,-43186400,-54.3,1947711340,4718,-5454,-53.6,242452,255,458,2019-05-23
8,8,-2,OLD,20185784,나의 특별한 형제,2019-05-01,22096300,0.9,-20590880,-48.2,11919148124,3464,-2336,-40.3,1453590,109,148,2019-05-23
9,9,-1,OLD,20198597,교회오빠,2019-05-16,19393580,0.8,-5942930,-23.5,296994950,2502,-729,-22.6,35806,62,89,2019-05-23
10,10,-3,OLD,20198598,명탐정 피카츄,2019-05-09,14485170,0.6,-29994190,-67.4,5469745166,1734,-3814,-68.7,655399,102,153,2019-05-23
1,1,0,OLD,20188941,악인전,2019-05-15,1395605600,38.8,446979030,47.1,19068067030,153861,39401,34.4,2183047,1076,5030,2019-05-24
2,2,0,OLD,20183867,알라딘,2019-05-23,1016129643,28.3,399485183,64.8,1656921403,109949,37213,51.2,185003,1061,4420,2019-05-24
3,3,0,OLD,20184082,걸캅스,2019-05-09,308577790,8.6,99906980,47.9,12010727854,35502,9455,36.3,1408540,637,1816,2019-05-24
4,4,0,OLD,20184889,어벤져스: 엔드게임,2019-04-24,309539180,8.6,103936840,50.6,119353878940,31296,8871,39.6,13620516,543,1185,2019-05-24
5,5,1,OLD,20199448,어린 의뢰인,2019-05-22,188908303,5.3,58363133,44.7,630934893,22038,5695,34.8,76719,669,2356,2019-05-24
6,6,-1,OLD,20199822,더 보이,2019-05-23,139714547,3.9,-6645323,-4.5,290084417,15552,-2076,-11.8,33581,509,1609,2019-05-24
7,7,0,OLD,20187981,배심원들,2019-05-15,50024940,1.4,13684490,37.7,1997736280,6842,2124,45,249294,268,476,2019-05-24
8,8,0,OLD,20185784,나의 특별한 형제,2019-05-01,24014800,0.7,1918500,8.7,11943162924,3642,178,5.1,1457232,113,164,2019-05-24
9,9,1,OLD,20198598,명탐정 피카츄,2019-05-09,24440210,0.7,9955040,68.7,5494185376,2748,1014,58.5,658147,113,170,2019-05-24
10,10,-1,OLD,20198597,교회오빠,2019-05-16,22802210,0.6,3408630,17.6,319797160,2596,94,3.8,38402,70,97,2019-05-24
1,1,1,OLD,20183867,알라딘,2019-05-23,2965798107,37.3,1949668464,191.9,4622719510,330019,220070,200.2,515022,1261,5311,2019-05-25
2,2,-1,OLD,20188941,악인전,2019-05-15,2793897090,35.1,1398291490,100.2,21861964120,306559,152698,99.2,2489606,1132,5561,2019-05-25
3,3,1,OLD,20184889,어벤져스: 엔드게임,2019-04-24,651381840,8.2,341842660,110.4,120005260780,69510,38214,122.1,13690026,615,1328,2019-05-25
4,4,-1,OLD,20184082,걸캅스,2019-05-09,610422850,7.7,301845060,97.8,12621150704,69084,33582,94.6,1477624,622,1755,2019-05-25
5,5,0,OLD,20199448,어린 의뢰인,2019-05-22,326871127,4.1,137962824,73,957806020,37403,15365,69.7,114122,634,1968,2019-05-25
6,6,0,OLD,20199822,더 보이,2019-05-23,185333083,2.3,45618536,32.7,475417500,20510,4958,31.9,54091,500,1303,2019-05-25
7,7,2,OLD,20198598,명탐정 피카츄,2019-05-09,91721590,1.2,67281380,275.3,5585906966,10997,8249,300.2,669144,191,293,2019-05-25
8,8,-1,OLD,20187981,배심원들,2019-05-15,87065240,1.1,37040300,74,2084801520,10402,3560,52,259696,257,417,2019-05-25
9,9,6,OLD,20190261,언더 더 씨2,2019-05-23,34359980,0.4,29291430,577.9,45362310,4574,3878,557.2,6247,268,314,2019-05-25
